key1,value1,key2,label,rank,rank_point,rank_line,rank_polygon
highway,cycleway,name, Piste cyclable,0.3,,,
highway,footway,name, Chemin piéton,0.3,,,
highway,ford,, Gué,0.3,,,
highway,motorway_junction,name, Embranchement d'autoroute / Sortie d'autoroute,0.3,,,
highway,platform,, Plateforme,0.3,,,
highway,proposed,, Projet de route,0.3,,,
highway,raceway,, Circuit,0.3,,,
highway,rest_area,, Aire de repos,0.3,,,
highway,steps,name, Escalier,0.3,,,
highway,track,name, Chemin,0.3,,,
highway,traffic_signals,, Feux de circulation,0.3,,,
highway,trail,name, Sentier,0.3,,,
highway,unsurfaced,name, Route non revêtue,0.3,,,
historic,citywalls,, Remparts,0.3,,,
junction,yes,, Jonction,0.3,,,
landuse,basin,name, Bassin,0.3,,,
landuse,brownfield,name, Friche industrielle,0.3,,,
landuse,commercial,name, Zone tertiaire,0.3,,,
landuse,conservation,name, Zone préservée,0.3,,,
landuse,construction,name, Construction,0.3,,,
landuse,farm,name, Ferme,0.3,,,
landuse,farmland,name, Terres agricoles,0.3,,,
landuse,farmyard,name, Corps de ferme,0.3,,,
landuse,grass,name, Pelouse,0.3,,,
landuse,greenfield,name, Terrain vierge,0.3,,,
landuse,landfill,name, Décharge,0.3,,,
landuse,meadow,name, Prairie / Bocage,0.3,,,
landuse,mine,name, Mine,0.3,,,
landuse,orchard,name, Verger,0.3,,,
landuse,recreation_ground,, Aire de jeux,0.3,,,
landuse,reservoir,name, Réservoir,0.3,,,
landuse,reservoir_watershed,name, Bassin versant de réservoir,0.3,,,
landuse,road,name, Zone routière,0.3,,,
landuse,vineyard,name, Vignoble,0.3,,,
leisure,common,name, Terrains communaux,0.3,,,
leisure,dog_park,, Parc à chiens,0.3,,,
leisure,fishing,, Zone de pêche,0.3,,,
leisure,miniature_golf,, Golf miniature,0.3,,,
leisure,playground,, Aire de jeux,0.3,,,
leisure,recreation_ground,, Terrain de jeux,0.3,,,
leisure,slipway,, Cale de lancement,0.3,,,
man_made,tower,, Tour,0.3,,,
natural,fell,name, Lande,0.3,,,
natural,grassland,name, Herbage,0.3,,,
natural,heath,name, Bruyère,0.3,,,
natural,hill,name, Colline,0.3,,,
natural,land,name, Terre,0.3,,,
natural,marsh,name, Marécage,0.3,,,
natural,moor,name, Maure,0.3,,,
natural,mud,name, Boue,0.3,,,
natural,rock,name, Roche,0.3,,,
natural,saddle,name, Selle,0.3,,,
natural,sand,name, Sable,0.3,,,
natural,scree,name, Éboulis,0.3,,,
natural,scrub,name, Broussailles,0.3,,,
natural,stone,name, Pierre,0.3,,,
natural,tree,name, Arbre,0.3,,,
natural,water,name, Eau,0.3,,,
natural,wetland,name, Zone humide,0.3,,,
office,accountant,, Comptable,0.3,,,
office,architect,, Architecte,0.3,,,
office,company,, Entreprise,0.3,,,
office,estate_agent,, Agent immobilier,0.3,,,
office,insurance,, Agence d'assurance,0.3,,,
office,lawyer,, Avocat,0.3,,,
office,ngo,, Agence d'une ONG,0.3,,,
office,telecommunication,, Agence de télécommunication,0.3,,,
office,travel_agent,, Agence de voyage,0.3,,,
railway,abandoned,name, Voie ferrée abandonnée,0.3,,,
railway,construction,name, Voie ferrée en construction,0.3,,,
railway,disused,name, Voie ferrée désaffectée,0.3,,,
railway,junction,name, Jonction ferroviaire,0.3,,,
railway,light_rail,name, Voie ferrée légère,0.3,,,
railway,narrow_gauge,name, Voie ferrée étroite,0.3,,,
railway,platform,, Plateforme ferroviaire,0.3,,,
railway,proposed,name, Voie ferrée en projet,0.3,,,
railway,subway_entrance,, Bouche de métro,0.3,,,
railway,tram,name, Tramway,0.3,,,
